id,loan_amount,issue_date,term,grade,int_rate,purpose,loan_status,fico_range,dti,credit_utilization,annual_income,home_ownership,state,monthly_installment,outstanding_principal,principal_repaid,interest_received,total_payment,service_fee
52,13000.00,4/7/14, 36 months,A,0.065,credit_card,Current,690-694,9.200,0.590,60000.00,MORTGAGE,CA,398.38,9292.02,3707.98,674.20,4382.18,43.82
53,21000.00,5/7/14, 60 months,D,0.176,debt_consolidation,Current,670-674,17.220,0.328,92000.00,RENT,NJ,528.37,18891.44,2108.56,2646.77,4755.33,47.55
54,22000.00,5/13/14, 60 months,E,0.190,debt_consolidation,Current,665-669,24.140,0.289,55000.00,RENT,NJ,570.58,19610.43,2389.57,3316.23,5705.80,57.06
55,35000.00,5/19/14, 36 months,C,0.134,debt_consolidation,Current,705-709,30.620,0.962,135000.00,RENT,NJ,1185.20,28379.91,6620.09,2861.51,9481.60,94.82
56,12575.00,6/7/14, 36 months,F,0.250,debt_consolidation,Current,675-679,18.960,0.696,35000.00,MORTGAGE,FL,499.92,10525.90,2049.10,1950.26,3999.36,39.99
57,20000.00,6/16/14, 36 months,B,0.102,debt_consolidation,Current,695-699,14.110,0.552,77000.00,RENT,DC,646.76,15553.33,4446.67,1374.17,5820.84,58.21
58,25600.00,6/24/14, 60 months,D,0.163,debt_consolidation,Current,705-709,3.000,0.772,150000.00,RENT,FL,626.50,22948.43,2651.57,2986.93,5638.50,56.39
59,4000.00,7/1/14, 36 months,A,0.065,medical,Current,755-759,8.890,,130000.00,MORTGAGE,CO,122.58,3176.97,823.03,157.61,980.64,9.81
60,35000.00,7/25/14, 60 months,C,0.134,debt_consolidation,Current,710-714,26.480,0.533,123000.00,MORTGAGE,NC,802.65,31110.64,3889.36,3334.49,7223.85,72.24
61,15000.00,7/31/14, 60 months,C,0.150,credit_card,Current,660-664,12.740,0.639,68000.00,MORTGAGE,MA,356.78,13584.00,1416.00,1438.24,2854.24,28.54
62,23350.00,8/4/14, 60 months,F,0.258,debt_consolidation,Current,675-679,15.310,0.557,65000.00,RENT,CA,696.77,21444.29,1905.71,4365.22,6270.93,62.71
63,10325.00,8/10/14, 36 months,C,0.150,debt_consolidation,Current,670-674,32.950,0.564,25866.00,RENT,NY,357.87,8158.97,2166.03,1054.80,3220.83,32.21
64,15000.00,8/28/14, 60 months,C,0.140,debt_consolidation,Current,675-679,25.640,0.693,55000.00,MORTGAGE,PA,348.87,13548.90,1451.10,1339.86,2790.96,27.91
65,5875.00,8/31/14, 36 months,C,0.145,debt_consolidation,Late (31-120 days),705-709,19.790,0.262,41000.00,RENT,SC,202.20,4922.22,952.78,462.62,1415.40,14.15
66,24000.00,9/1/14, 60 months,D,0.163,home_improvement,Current,680-684,15.220,0.891,132000.00,MORTGAGE,CA,587.34,21514.19,2485.81,2800.25,5286.06,52.86
67,10000.00,9/7/14, 36 months,B,0.110,debt_consolidation,Fully Paid,690-694,11.140,0.338,44180.00,RENT,NJ,327.34,0.00,10000.00,676.01,10676.01,106.76
68,35000.00,9/15/14, 36 months,C,0.150,debt_consolidation,Current,670-674,6.260,0.697,200000.00,RENT,NY,1213.12,29360.79,5639.21,2852.63,8491.84,84.92
69,7000.00,9/15/14, 36 months,B,0.110,debt_consolidation,Current,675-679,8.990,0.548,21636.00,RENT,FL,229.14,5812.55,1187.45,416.53,1603.98,16.04
70,5600.00,9/24/14, 36 months,B,0.117,home_improvement,Current,670-674,13.980,0.672,124000.00,MORTGAGE,IL,185.12,4518.44,1081.56,399.40,1480.96,14.81
71,20400.00,9/26/14, 60 months,C,0.145,debt_consolidation,Fully Paid,720-724,4.430,0.501,80000.00,RENT,FL,479.88,0.00,20400.00,246.33,20646.33,206.46
72,12000.00,9/29/14, 60 months,C,0.134,debt_consolidation,Current,725-729,25.740,0.410,58000.00,MORTGAGE,PA,275.20,10821.26,1178.74,1022.86,2201.60,22.02
73,7000.00,10/5/14, 36 months,A,0.065,debt_consolidation,Current,695-699,25.960,0.616,46000.00,MORTGAGE,PA,214.52,5925.59,1074.41,212.71,1287.12,12.87
74,12800.00,10/11/14, 60 months,C,0.134,home_improvement,Current,745-749,28.700,0.687,48000.00,MORTGAGE,GA,293.54,11706.05,1093.95,960.83,2054.78,20.55
75,20000.00,10/16/14, 36 months,B,0.092,debt_consolidation,Current,715-719,11.040,0.167,75000.00,RENT,CA,637.58,16527.99,3472.01,991.05,4463.06,44.63
76,20000.00,10/23/14, 60 months,E,0.190,major_purchase,Charged Off,665-669,28.260,0.364,64000.00,RENT,FL,518.71,0.00,407.62,629.80,1037.42,10.37
77,3000.00,10/29/14, 36 months,D,0.170,home_improvement,Current,685-689,35.740,0.896,100000.00,MORTGAGE,TX,106.95,2599.20,400.80,235.24,636.04,6.36
78,28000.00,11/12/14, 60 months,B,0.102,debt_consolidation,Current,745-749,17.540,0.651,75000.00,MORTGAGE,CA,596.99,25792.85,2207.15,1374.79,3581.94,35.82
79,10000.00,11/24/14, 36 months,A,0.071,credit_card,Current,690-694,20.030,0.789,65000.00,MORTGAGE,CO,309.32,8477.65,1522.35,329.61,1851.96,18.52
80,10950.00,11/24/14, 36 months,D,0.156,debt_consolidation,Current,670-674,18.450,0.616,46000.00,MORTGAGE,CA,382.87,9716.17,1233.83,671.02,1904.85,19.05
81,14950.00,12/4/14, 60 months,E,0.202,debt_consolidation,Current,660-664,17.840,1.025,49852.00,RENT,IL,397.75,14035.72,914.28,1455.44,2369.72,23.70
82,32000.00,12/13/14, 60 months,C,0.130,credit_card,Late (16-30 days),675-679,22.640,0.764,80000.00,OWN,GA,727.94,30050.55,1949.45,1667.16,3616.61,36.17
83,4800.00,12/31/14, 36 months,B,0.117,debt_consolidation,Current,675-679,18.360,0.166,50000.00,RENT,VA,158.68,4111.45,688.55,263.53,952.08,9.52
84,25300.00,1/8/15, 60 months,E,0.222,debt_consolidation,Current,660-664,14.270,0.448,72000.00,RENT,NY,700.92,23830.07,1469.93,2704.46,4174.39,41.74
85,20000.00,1/20/15, 60 months,B,0.110,debt_consolidation,Current,680-684,7.460,0.782,69000.00,MORTGAGE,MN,434.75,18455.51,1544.49,1064.01,2608.50,26.09
86,10000.00,1/21/15, 60 months,C,0.145,credit_card,Current,710-714,24.640,0.599,30000.00,RENT,CA,235.24,9291.99,708.01,687.33,1395.34,13.95
87,7800.00,1/24/15, 36 months,B,0.117,debt_consolidation,Current,680-684,15.700,0.381,52000.00,OWN,NY,257.85,6681.13,1118.87,418.12,1536.99,15.37
88,10125.00,1/26/15, 36 months,D,0.170,major_purchase,Current,700-704,11.440,0.114,83000.00,RENT,VT,360.94,8772.39,1352.61,813.03,2165.64,21.66
89,8500.00,1/29/15, 36 months,A,0.084,debt_consolidation,Current,660-664,5.120,0.398,45000.00,RENT,FL,267.90,7227.11,1272.89,330.55,1603.44,16.03
90,12500.00,2/8/15, 60 months,B,0.117,credit_card,Current,695-699,26.530,0.572,55000.00,RENT,TX,275.98,11550.68,949.32,706.56,1655.88,16.56
91,24850.00,2/22/15, 60 months,B,0.114,debt_consolidation,Current,745-749,13.050,0.343,135000.00,MORTGAGE,NJ,545.77,23275.94,1574.06,1139.00,2713.06,27.13
92,10000.00,3/20/15, 36 months,E,0.185,debt_consolidation,Current,665-669,11.220,0.536,80000.00,RENT,CA,364.24,8918.39,1081.61,718.99,1800.60,18.01
93,15750.00,3/24/15, 36 months,B,0.120,debt_consolidation,Current,680-684,9.850,0.695,84254.00,RENT,NY,523.06,13884.64,1865.36,734.20,2599.56,26.00
94,7925.00,4/5/15, 36 months,B,0.105,debt_consolidation,Current,705-709,15.410,0.542,45000.00,OWN,NJ,257.55,6967.04,957.96,325.17,1283.13,12.83
95,10000.00,4/6/15, 60 months,D,0.179,debt_consolidation,Current,680-684,24.040,0.732,32000.00,RENT,MI,253.18,9462.50,537.50,708.56,1246.06,12.46
96,27600.00,4/18/15, 60 months,E,0.192,debt_consolidation,Current,675-679,30.020,0.743,63000.00,RENT,OH,719.61,26464.70,1135.30,1713.64,2848.94,28.49
97,11850.00,4/20/15, 36 months,B,0.095,debt_consolidation,Current,740-744,24.810,0.311,40000.00,OWN,CA,379.54,10985.72,864.28,268.09,1132.37,11.32
98,5000.00,4/23/15, 36 months,C,0.143,debt_consolidation,Current,665-669,20.250,0.608,24000.00,RENT,PA,171.65,4543.82,456.18,222.47,678.65,6.79
99,8000.00,5/1/15, 36 months,D,0.171,medical,Current,685-689,38.670,0.315,63000.00,RENT,MN,285.78,7299.11,700.89,434.61,1135.50,11.36
100,5325.00,5/6/15, 36 months,A,0.075,debt_consolidation,Current,675-679,10.530,0.647,50249.89,MORTGAGE,OR,165.62,4790.49,534.51,125.75,660.26,6.60
